zone,label,clustering_label,barangay,population,lat,long
poblacion,1,1,Barangay 1 (Pob.),991,13.18676963,123.6573
poblacion,2,2,Barangay 2 (Pob.),438,13.18533555,123.6522
poblacion,3,3,Barangay 3 (Pob.),587,13.18617687,123.6503
poblacion,4,4,Barangay 4 (Pob.),375,13.1860181,123.6459
poblacion,5,5,Barangay 5 (Pob.),381,13.18006194,123.6556
poblacion,6,6,Barangay 6 (Pob.),347,13.17880965,123.6556
poblacion,7,7,Barangay 7 (Pob.),445,13.18161537,123.6561
north,8,1,Salugan,1622,13.1888218,123.6644
north,9,2,Cabangan,2889,13.18767269,123.6731
north,10,3,Sumlang,2088,13.17699561,123.668
north,11,4,Sua,1490,13.1946683,123.6451
north,12,5,Anoling,1056,13.1990854,123.6717
north,13,6,Tumpa,1270,13.1987231,123.6374
north,14,7,Quirangay,3553,13.20025038,123.6552
north,15,8,Gapo,1850,13.18206941,123.661
north,16,9,Ilawod,2664,13.17622371,123.6498
north,17,10,Libod,3539,13.17930548,123.6325
east,18,1,Tinago,2277,13.17179403,123.661
east,19,2,Ligban,769,13.16666488,123.6536
east,20,3,Mina,704,13.15759358,123.662
east,21,4,Gotob,753,13.1557856,123.6523
east,22,5,Tagoytoy,729,13.14877073,123.6649
east,23,6,Taladong,1625,13.14246553,123.6578
east,24,7,Baligang,3845,13.15199952,123.6424
east,25,8,Bongabong,1013,13.13267441,123.6481
east,26,9,Binitayan,688,13.1356055,123.6688
east,27,10,Comun,1922,13.13111708,123.6596
east,28,11,Cotmon,2927,13.11500606,123.6602
east,29,12,Solong,509,13.11859982,123.6463
east,30,13,Maninila,1139,13.09831781,123.6523
east,31,14,Del Rosario,908,13.09580123,123.6644
east,32,15,Panoypoy,1337,13.07517471,123.6608
east,33,16,Magogon,667,13.06468681,123.6699
east,34,17,Taplacon,1202,13.09396687,123.6334
east,35,18,Taloto,971,13.07816417,123.6426
west,36,1,Tagaytay,6659,13.16683524,123.6396
west,37,2,Bariw,2170,13.16600472,123.623
west,38,3,Palanog,3465,13.15008081,123.618
west,39,4,Miti,939,13.13334241,123.6104
west,40,5,Iluluan,1597,13.12310983,123.5987
west,41,6,Bantonan,548,13.14540131,123.629
west,42,7,Manawan,828,13.10785354,123.5828
west,43,8,Caguiba,1788,13.11880835,123.6214
west,44,9,Pariaan,785,13.10958705,123.5987
west,45,10,Calabidongan,724,13.11839071,123.6353
west,46,11,Binanderahan,595,13.10266989,123.6062
west,47,12,Cabraran Pequeño,930,13.09422393,123.5959
west,48,13,Quituinday,260,13.09670044,123.616
west,49,14,Mabunga,121,13.07668081,123.6303
west,50,15,Quinartilan,1063,13.09398764,123.5717264
