Zone,Trip,Path,Universal Trip,Nodes Served,Alternate Trip,Fuel Consumption,CO2 Emission
poblacion,1,0-1-7-5-6-2-0,0-1-7-5-6-2-0,"1 (991, 991); 7 (445, 445); 5 (381, 381); 6 (347, 347); 2 (336, 438)",,0.3,0.82
poblacion,2,0-2-3-4-0,0-2-3-4-0,"2 (102, 102); 3 (587, 587); 4 (375, 375)",,0.25,0.67
north,1,0-1-8-0,0-8-15-0,"8 (1622, 1622); 15 (878, 1850)",,0.19,0.5
north,2,0-8-3-0,0-15-10-0,"15 (972, 972); 10 (1528, 2088)",,0.3,0.82
north,3,0-3-2-0,0-10-9-0,"10 (560, 560); 9 (1940, 2889)",,0.51,1.37
north,4,0-2-9-0,0-9-16-0,"9 (949, 949); 16 (1551, 2664)",,0.71,1.92
north,5,0-9-10-0,0-16-17-0,"16 (1113, 1113); 17 (1387, 3539)",,0.5,1.35
north,6,0-10-5-0,0-17-12-0,"17 (2152, 2152); 12 (348, 1056)",,0.83,2.22
north,7,0-5-7-0,0-12-14-0,"12 (708, 708); 14 (1792, 3553)",,0.61,1.63
north,8,0-7-4-0,0-14-11-0,"14 (1761, 1761); 11 (739, 1490)",,0.67,1.8
north,9,0-4-6-0,0-11-13-0,"11 (751, 751); 13 (1270, 1270)",,0.8,2.14
east,1,0-1-3-0,0-18-20-0,"18 (2277, 2277); 20 (223, 704)",,0.61,1.65
east,2,0-3-5-6-0,0-20-22-23-0,"20 (481, 704); 22 (729, 729); 23 (1290, 1625)",,1.03,2.78
east,3,0-6-10-11-0,0-23-27-28-0,"23 (335, 335); 27 (1922, 1922); 28 (243, 2927)",,1.47,3.97
east,4,0-11-0,0-28-0,"28 (2500, 2684)",,1.47,3.97
east,5,0-11-13-14-15-0,0-28-30-31-32-0,"28 (184, 2684); 30 (1139, 1139); 31 (908, 908); 32 (269, 1337)",0-315-183-178-180-321-59-336-333-60-174-329-306-305-304-708-135-128-138-656-131-399-635-222-465-66-630-469-214-431-397-68-69-65-72-71-668-672-670-454-28-453-457-142-30-523-139-31-622-638-442-441-145-32,2.4,6.45
east,6,0-15-16-18-0,0-32-33-35-0,"32 (1068, 1068); 33 (667, 667); 35 (765, 1202)",0-315-183-178-180-321-59-336-333-60-174-312-383-310-309-304-708-135-128-138-656-131-399-635-222-465-66-630-469-214-431-397-68-69-65-72-71-668-672-670-454-453-457-142-523-139-622-638-442-441-145-32-33-145-441-442-638-636-35,3.04,8.17
east,7,0-18-17-12-8-0,0-35-34-29-25-0,"35 (437, 437); 34 (971, 971); 29 (1013, 1013); 25 (79, 753)",0-315-183-178-180-321-59-336-333-60-174-312-383-306-305-304-708-135-128-138-656-131-399-635-222-465-66-630-469-214-431-397-68-69-27-65-72-71-612-73-505-703-457-142-141-140-143-608-676-35-676-608-143-140-639-141-142-457-453-28-454-670-672-668-71-612-73-505-29-45-507-298-299-157-25,3.01,8.09
east,8,0-8-7-0,0-25-24-0,"25 (674, 674); 24 (1826, 3845)",,1.46,3.92
east,9,0-7-4-0,0-24-21-0,"24 (2019, 2019); 21 (481, 769)",,1.64,4.42
east,10,0-4-2-9-0,0-21-19-26-0,"21 (288, 288); 19 (688, 688); 26 (509, 509)",,2.5,6.72
west,1,0-1-0,0-36-0,"36 (2500, 6659)",,0.4,1.08
west,2,0-1-0,0-36-0,"36 (2500, 6659)",,0.4,1.08
west,3,0-1-2-0,0-36-37-0,"36 (1659, 1659); 37 (841, 2170)",,0.7,1.9
west,4,0-2-3-0,0-37-38-0,"37 (1329, 1329); 38 (1171, 3465)",,1.07,2.88
west,5,0-3-4-0,0-38-39-0,"38 (2294, 2294); 39 (206, 939)",,1.35,3.63
west,6,0-4-5-9-0,0-39-40-44-0,"39 (733, 733); 40 (1597, 1597); 44 (170, 785)",,1.96,5.27
west,7,0-9-12-11-13-15-0,0-44-47-46-48-50-0,"44 (615, 615); 47 (930, 930); 46 (595, 595); 48 (260, 260); 50 (100, 1063)",,3.47,9.33
west,8,0-15- 8-0,0-50-43-0,"50 (963, 963); 43 (1537, 1788)",,3.29,8.86
west,9,0-8-10-7-6-0,0-43-45-42-41-0,"43 (251, 251); 45 (724, 724); 42 (828, 828); 42 (121, 121); 41 (548, 548)",,4.95,13.32
